,Res_Txn_Same,Ship_Res_Same,Time,Country of Transaction_United Kingdom,Shipping Address_United Kingdom,Country of Residence_United Kingdom,Entry Mode_PIN,Amount,Entry Mode_CVC,Entry Mode_Tap,Merchant Group_Children
46379,1.0,1.0,1.0,1,1,1,1,0.26,0,0,0
72038,1.0,1.0,0.7391304347826086,1,1,1,0,0.0425,0,1,1
64662,1.0,1.0,0.5217391304347826,1,1,1,0,0.015,0,1,0
37783,1.0,1.0,0.4782608695652174,1,1,1,0,0.025,0,1,0
6793,0.0,0.0,0.3913043478260869,0,0,1,1,0.075,0,0,0
43231,1.0,0.0,0.13043478260869565,1,0,1,0,0.0275,1,0,0
20096,1.0,1.0,0.5217391304347826,1,1,1,1,0.06,0,0,0
21039,1.0,0.0,0.043478260869565216,1,0,1,0,0.0175,1,0,1
32387,0.0,0.0,0.6521739130434783,0,0,1,0,0.0375,0,1,1
18432,1.0,1.0,0.34782608695652173,0,0,0,0,0.015,1,0,0
22277,1.0,1.0,0.4782608695652174,1,1,1,0,0.0325,0,1,0
39813,1.0,1.0,0.43478260869565216,0,0,0,0,0.045,1,0,0
76024,1.0,1.0,0.9130434782608695,1,1,1,0,0.0675,1,0,0
28995,1.0,1.0,0.6956521739130435,1,1,1,0,0.0125,0,1,0
34133,1.0,1.0,0.7826086956521738,1,1,1,0,0.0625,1,0,0
25996,1.0,1.0,0.8695652173913043,1,1,1,0,0.0275,1,0,0
48512,1.0,1.0,0.6956521739130435,1,1,1,1,0.67,0,0,1
80938,1.0,1.0,0.6956521739130435,1,1,1,0,0.025,1,0,1
8403,1.0,0.0,0.17391304347826086,1,0,1,0,0.0275,1,0,0
54509,1.0,1.0,0.9565217391304348,1,1,1,0,0.805,1,0,0
51374,1.0,1.0,0.8695652173913043,1,1,1,0,0.075,0,1,0
5462,1.0,1.0,0.7391304347826086,1,1,1,1,0.535,0,0,0
55969,1.0,0.0,0.6086956521739131,1,0,1,1,0.195,0,0,0
79165,1.0,1.0,0.6956521739130435,1,1,1,1,0.8375,0,0,0
83516,1.0,1.0,0.7826086956521738,1,1,1,0,0.2125,1,0,0
29907,1.0,1.0,0.7826086956521738,1,1,1,1,0.0275,0,0,0
78088,1.0,1.0,0.3913043478260869,1,1,1,0,0.0675,1,0,0
31608,0.0,0.0,0.2608695652173913,0,0,1,1,0.0425,0,0,0
68181,1.0,1.0,0.8260869565217391,0,0,0,0,0.065,0,1,0
25799,1.0,1.0,0.4782608695652174,1,1,1,0,0.05,0,1,0
40651,1.0,1.0,0.9565217391304348,1,1,1,1,0.035,0,0,0
8931,1.0,1.0,1.0,1,1,1,1,0.3325,0,0,0
22271,0.0,0.0,0.5217391304347826,0,0,1,0,0.445,1,0,0
26946,1.0,1.0,0.9565217391304348,1,1,1,0,0.0325,0,1,0
38583,1.0,0.0,0.43478260869565216,1,0,1,0,0.8275,1,0,0
4600,1.0,1.0,0.8695652173913043,0,0,0,0,0.055,0,1,0
24156,1.0,1.0,0.6521739130434783,1,1,1,0,0.0225,0,1,0
5162,0.0,0.0,0.30434782608695654,0,0,1,0,0.6925,1,0,0
41887,1.0,1.0,0.5217391304347826,1,1,1,1,0.74,0,0,0
69803,1.0,1.0,0.30434782608695654,1,1,1,1,0.045,0,0,0
4694,1.0,1.0,0.7826086956521738,1,1,1,1,0.125,0,0,0
63614,1.0,1.0,0.5217391304347826,1,1,1,1,0.8675,0,0,1
35751,1.0,1.0,0.6086956521739131,1,1,1,1,0.8975,0,0,0
39930,1.0,1.0,0.8260869565217391,1,1,1,0,0.47250000000000003,1,0,1
43287,1.0,1.0,0.3913043478260869,0,0,0,1,0.86,0,0,0
18894,1.0,1.0,0.30434782608695654,1,1,1,0,0.0425,0,1,0
32747,1.0,0.0,0.21739130434782608,1,0,1,0,0.0175,1,0,1
53328,1.0,1.0,0.30434782608695654,1,1,1,1,0.5025000000000001,0,0,0
45419,1.0,1.0,0.3913043478260869,0,0,0,0,0.0575,0,1,1
90326,0.0,0.0,0.17391304347826086,0,0,1,0,0.055,0,1,0
97698,0.0,0.0,0.6956521739130435,0,0,1,1,0.7425,0,0,0
63856,1.0,1.0,0.5652173913043478,1,1,1,0,0.54,1,0,1
17145,1.0,1.0,0.6956521739130435,1,1,1,0,0.0575,1,0,0
23838,1.0,1.0,0.7391304347826086,0,0,0,0,0.0175,1,0,0
86798,1.0,1.0,0.3913043478260869,1,1,1,1,0.14,0,0,0
12064,1.0,1.0,0.34782608695652173,0,0,0,1,0.315,0,0,0
31043,1.0,1.0,0.4782608695652174,0,0,0,0,0.4225,1,0,0
60498,1.0,0.0,0.34782608695652173,1,0,1,1,0.5425,0,0,0
2730,0.0,0.0,0.4782608695652174,0,0,1,0,0.4425,1,0,0
14234,1.0,1.0,0.5217391304347826,1,1,1,0,0.04,1,0,0
12978,0.0,0.0,0.5652173913043478,0,0,1,1,0.355,0,0,0
14388,1.0,1.0,0.9130434782608695,1,1,1,1,0.64,0,0,0
89185,1.0,1.0,0.6086956521739131,0,0,0,1,0.9675,0,0,0
83108,1.0,1.0,0.9130434782608695,1,1,1,0,0.92,1,0,0
67682,1.0,1.0,0.9130434782608695,0,0,0,1,0.8200000000000001,0,0,1
20360,1.0,1.0,0.5652173913043478,0,0,0,1,0.33,0,0,0
32636,1.0,1.0,0.8695652173913043,1,1,1,0,0.615,1,0,0
23747,1.0,1.0,0.8260869565217391,0,0,0,0,0.0275,1,0,0
81850,1.0,1.0,0.30434782608695654,1,1,1,1,0.2625,0,0,0
23875,1.0,1.0,0.8260869565217391,1,1,1,1,0.0525,0,0,0
55795,1.0,1.0,0.5652173913043478,1,1,1,1,0.6825,0,0,0
784,1.0,1.0,0.6086956521739131,1,1,1,1,0.0675,0,0,0
38224,1.0,1.0,0.7391304347826086,0,0,0,0,0.22,1,0,0
35408,1.0,0.0,0.8695652173913043,1,0,1,1,0.48,0,0,0
22170,1.0,1.0,0.6956521739130435,1,1,1,0,0.065,0,1,0
90274,0.0,0.0,1.0,0,0,1,1,0.56,0,0,0
89990,1.0,1.0,1.0,1,1,1,0,0.0375,1,0,0
78929,1.0,0.0,0.5217391304347826,0,1,0,0,0.0125,1,0,0
32610,1.0,1.0,0.3913043478260869,0,0,0,0,0.065,1,0,0
83963,1.0,1.0,0.8695652173913043,1,1,1,0,0.0225,1,0,0
42538,0.0,0.0,0.7826086956521738,0,0,1,0,0.025,1,0,1
44018,1.0,1.0,0.43478260869565216,1,1,1,0,0.0675,0,1,0
6121,1.0,1.0,0.34782608695652173,0,0,0,0,0.0425,0,1,0
1779,1.0,1.0,0.3913043478260869,0,0,0,1,0.86,0,0,0
67370,1.0,1.0,0.9565217391304348,1,1,1,0,0.065,0,1,0
96134,1.0,0.0,0.3913043478260869,1,0,1,1,0.21,0,0,0
89520,0.0,0.0,0.043478260869565216,0,0,1,1,0.2125,0,0,0
47900,1.0,0.0,0.30434782608695654,1,0,1,1,0.4,0,0,0
40543,1.0,1.0,0.30434782608695654,1,1,1,1,0.26,0,0,0
38002,1.0,1.0,0.7826086956521738,0,0,0,0,0.7875,1,0,0
40002,1.0,1.0,0.7826086956521738,1,1,1,1,0.07,0,0,0
54986,1.0,1.0,1.0,1,1,1,1,0.255,0,0,1
2064,0.0,0.0,0.30434782608695654,0,0,1,0,0.0675,1,0,0
63303,1.0,1.0,1.0,1,1,1,1,0.28750000000000003,0,0,0
91320,1.0,0.0,0.3913043478260869,1,0,1,1,0.0575,0,0,0
83863,1.0,1.0,0.9130434782608695,0,0,0,0,0.795,1,0,1
13845,1.0,1.0,0.9130434782608695,1,1,1,1,0.625,0,0,0
26071,1.0,1.0,0.34782608695652173,0,0,0,0,0.2,1,0,0
18380,1.0,1.0,0.6086956521739131,1,1,1,1,0.035,0,0,0
37243,0.0,0.0,0.6956521739130435,0,0,1,1,0.43,0,0,0
31083,1.0,1.0,0.30434782608695654,1,1,1,1,0.07,0,0,0
99643,1.0,1.0,0.34782608695652173,1,1,1,0,0.0675,0,1,0
98278,1.0,1.0,0.8695652173913043,1,1,1,0,0.05,0,1,0
99949,0.0,0.0,0.043478260869565216,0,0,1,1,0.075,0,0,0
27931,1.0,1.0,0.34782608695652173,0,0,0,0,0.645,1,0,0
27840,1.0,1.0,0.5652173913043478,1,1,1,1,0.045,0,0,0
49814,1.0,1.0,0.6956521739130435,1,1,1,0,0.025,0,1,0
55161,1.0,1.0,0.6521739130434783,1,1,1,1,0.0425,0,0,1
20525,1.0,0.0,0.6086956521739131,1,0,1,1,0.0675,0,0,0
39716,1.0,1.0,0.3913043478260869,0,0,0,1,0.06,0,0,0
64259,1.0,1.0,0.9130434782608695,0,0,0,0,0.06,0,1,0
61603,1.0,1.0,1.0,0,0,0,1,0.185,0,0,0
4325,1.0,1.0,0.7826086956521738,1,1,1,1,0.0125,0,0,0
60056,1.0,1.0,0.9130434782608695,0,0,0,1,0.5525,0,0,0
56596,1.0,1.0,0.3913043478260869,1,1,1,1,0.0375,0,0,0
48999,1.0,1.0,0.4782608695652174,0,0,0,0,0.035,1,0,0
58505,0.0,0.0,0.0,0,0,1,0,0.0725,1,0,0
59751,0.0,0.0,0.13043478260869565,0,0,1,0,0.015,1,0,0
39258,0.0,0.0,0.2608695652173913,0,0,1,0,0.0475,0,1,1
58873,0.0,0.0,0.30434782608695654,0,0,1,1,0.075,0,0,0
91429,1.0,1.0,0.5652173913043478,0,0,0,1,0.5750000000000001,0,0,0
16240,1.0,1.0,0.30434782608695654,1,1,1,1,0.835,0,0,0
19070,1.0,1.0,0.8695652173913043,0,0,0,1,0.0325,0,0,0
41415,1.0,1.0,0.6521739130434783,1,1,1,1,0.435,0,0,0
260,1.0,1.0,0.8260869565217391,1,1,1,0,0.045,0,1,0
96808,1.0,1.0,0.34782608695652173,1,1,1,1,0.5650000000000001,0,0,0
50495,1.0,1.0,0.43478260869565216,1,1,1,0,0.0475,0,1,0
16693,1.0,1.0,0.7826086956521738,0,0,0,0,0.0375,0,1,0
96210,1.0,1.0,1.0,0,0,0,0,0.45,1,0,0
66788,1.0,1.0,0.6086956521739131,1,1,1,1,0.14,0,0,0
27543,1.0,1.0,0.30434782608695654,1,1,1,1,0.335,0,0,1
17040,1.0,0.0,0.6956521739130435,1,0,1,0,0.5525,1,0,0
99948,1.0,1.0,0.43478260869565216,0,0,0,1,0.34500000000000003,0,0,0
13094,0.0,0.0,0.5217391304347826,0,0,1,1,0.20500000000000002,0,0,0
97547,1.0,1.0,0.6956521739130435,1,1,1,0,0.67,1,0,0
25257,0.0,0.0,0.7826086956521738,0,0,1,1,0.7875,0,0,0
2261,1.0,1.0,0.43478260869565216,1,1,1,0,0.0675,1,0,0
32957,1.0,1.0,0.4782608695652174,1,1,1,1,0.1975,0,0,0
8036,1.0,1.0,0.5652173913043478,0,0,0,1,0.8575,0,0,0
51412,1.0,0.0,0.5217391304347826,1,0,1,0,0.7075,1,0,0
37364,1.0,1.0,0.7391304347826086,1,1,1,1,0.8,0,0,0
99800,1.0,0.0,0.7826086956521738,1,0,1,1,0.8225,0,0,0
32227,1.0,1.0,0.5217391304347826,1,1,1,0,0.0175,0,1,0
16906,1.0,1.0,0.9130434782608695,1,1,1,1,0.5975,0,0,0
16553,1.0,1.0,0.7391304347826086,1,1,1,1,0.0275,0,0,0
54949,1.0,1.0,0.7391304347826086,1,1,1,0,0.065,0,1,0
94731,1.0,1.0,0.6521739130434783,1,1,1,1,0.015,0,0,0
27534,1.0,1.0,0.4782608695652174,1,1,1,1,0.14,0,0,0
34938,1.0,1.0,0.6521739130434783,0,0,0,0,0.0725,0,1,0
89188,1.0,1.0,0.6086956521739131,1,1,1,1,0.05,0,0,0
5899,1.0,1.0,0.34782608695652173,1,1,1,0,0.9925,1,0,1
93886,1.0,1.0,0.7391304347826086,1,1,1,0,0.9675,1,0,0
70711,1.0,1.0,0.4782608695652174,1,1,1,0,0.065,1,0,0
62695,1.0,1.0,0.9130434782608695,1,1,1,0,0.04,1,0,0
49708,1.0,1.0,0.6956521739130435,1,1,1,1,0.9325,0,0,0
38200,1.0,1.0,0.4782608695652174,1,1,1,0,0.46,1,0,0
29738,1.0,1.0,0.9565217391304348,1,1,1,0,0.07,0,1,0
11858,1.0,0.0,0.43478260869565216,1,0,1,1,0.06,0,0,0
33600,1.0,1.0,0.6956521739130435,0,0,0,0,0.0125,1,0,0
23886,1.0,1.0,0.7826086956521738,1,1,1,1,0.3925,0,0,0
30994,1.0,1.0,0.9130434782608695,1,1,1,1,0.025,0,0,0
47914,1.0,1.0,0.4782608695652174,1,1,1,1,0.03,0,0,0
1279,1.0,0.0,0.9130434782608695,1,0,1,0,0.0275,1,0,0
25030,1.0,1.0,0.4782608695652174,1,1,1,1,0.805,0,0,0
95339,1.0,1.0,0.8260869565217391,1,1,1,0,0.1325,1,0,0
97141,1.0,1.0,0.6956521739130435,1,1,1,0,0.0325,0,1,0
65171,1.0,1.0,0.9565217391304348,1,1,1,0,0.0275,1,0,0
53996,0.0,0.0,0.8260869565217391,0,0,1,0,0.8275,1,0,0
9932,1.0,1.0,0.34782608695652173,1,1,1,1,0.41000000000000003,0,0,0
42100,1.0,0.0,0.6956521739130435,1,0,1,0,0.0725,1,0,0
28377,1.0,1.0,0.5652173913043478,1,1,1,0,0.0275,0,1,0
36978,1.0,1.0,0.7826086956521738,1,1,1,0,0.11,1,0,0
23223,1.0,1.0,0.8260869565217391,1,1,1,0,0.5825,1,0,0
34959,1.0,1.0,0.34782608695652173,0,0,0,1,0.045,0,0,0
82808,1.0,1.0,0.8260869565217391,1,1,1,0,0.0225,0,1,0
96065,1.0,1.0,0.6521739130434783,1,1,1,1,0.035,0,0,0
18933,1.0,0.0,0.30434782608695654,1,0,1,1,0.41250000000000003,0,0,1
58669,0.0,0.0,0.9130434782608695,0,0,1,1,0.07,0,0,0
55612,1.0,1.0,0.30434782608695654,1,1,1,1,0.0675,0,0,0
67377,1.0,1.0,0.9565217391304348,1,1,1,1,0.56,0,0,0
62117,1.0,1.0,0.7391304347826086,1,1,1,1,0.05,0,0,0
46471,1.0,1.0,0.34782608695652173,1,1,1,1,0.925,0,0,0
80091,1.0,1.0,0.6521739130434783,1,1,1,0,0.0725,1,0,1
83201,1.0,0.0,0.5652173913043478,1,0,1,0,0.04,1,0,0
31843,1.0,1.0,0.5652173913043478,1,1,1,0,0.075,0,1,0
31963,1.0,1.0,0.7391304347826086,1,1,1,1,0.0175,0,0,0
82649,1.0,1.0,0.9130434782608695,1,1,1,1,0.0225,0,0,0
70337,1.0,1.0,0.7391304347826086,1,1,1,1,0.18,0,0,0
65382,1.0,1.0,1.0,1,1,1,1,0.8150000000000001,0,0,0
61397,1.0,1.0,0.8260869565217391,1,1,1,1,0.0225,0,0,0
89728,1.0,1.0,0.8695652173913043,1,1,1,1,0.0275,0,0,0
76064,1.0,1.0,0.9565217391304348,0,0,0,1,0.6825,0,0,0
86279,1.0,1.0,0.9130434782608695,1,1,1,0,0.14250000000000002,1,0,0
79995,1.0,1.0,0.4782608695652174,1,1,1,1,0.035,0,0,0
81052,1.0,0.0,0.7391304347826086,0,1,0,1,0.4625,0,0,1
33233,1.0,1.0,0.5652173913043478,0,0,0,1,0.5750000000000001,0,0,0
14976,1.0,1.0,0.6521739130434783,1,1,1,1,0.295,0,0,0
94330,1.0,1.0,0.8695652173913043,1,1,1,1,0.45,0,0,0
12059,1.0,1.0,0.9130434782608695,1,1,1,1,0.2275,0,0,0
94240,1.0,0.0,0.7391304347826086,1,0,1,0,0.0325,0,1,0
90100,1.0,1.0,0.4782608695652174,1,1,1,0,0.055,0,1,0
42178,1.0,1.0,0.6521739130434783,1,1,1,0,0.045,1,0,0
39464,1.0,1.0,0.4782608695652174,1,1,1,1,0.065,0,0,1
28643,1.0,1.0,0.6086956521739131,1,1,1,1,0.17250000000000001,0,0,0
76745,1.0,0.0,1.0,1,0,1,0,0.8775000000000001,1,0,0
73570,1.0,1.0,0.9130434782608695,1,1,1,0,0.615,1,0,0
4262,1.0,1.0,0.8695652173913043,1,1,1,0,0.6275000000000001,1,0,0
75442,1.0,1.0,0.8695652173913043,1,1,1,1,0.04,0,0,0
33607,1.0,0.0,0.2608695652173913,1,0,1,1,0.03,0,0,0
53294,1.0,1.0,1.0,0,0,0,0,0.375,1,0,0
57578,1.0,1.0,0.8695652173913043,1,1,1,0,0.41250000000000003,1,0,0
99336,1.0,1.0,0.9130434782608695,0,0,0,0,0.055,0,1,0
16675,1.0,0.0,0.8695652173913043,1,0,1,1,0.17,0,0,0
53354,1.0,1.0,0.7391304347826086,1,1,1,1,0.7575000000000001,0,0,0
26816,1.0,0.0,0.34782608695652173,1,0,1,1,0.0325,0,0,0
17896,1.0,0.0,1.0,0,1,0,0,0.0475,1,0,0
51075,1.0,1.0,0.6086956521739131,1,1,1,1,0.995,0,0,0
95278,1.0,1.0,0.9130434782608695,1,1,1,0,0.7075,1,0,0
20233,1.0,1.0,0.6956521739130435,1,1,1,0,0.055,1,0,0
96014,1.0,1.0,0.30434782608695654,0,0,0,1,0.185,0,0,0
34317,1.0,1.0,0.8260869565217391,0,0,0,1,0.6900000000000001,0,0,0
84174,1.0,0.0,0.7391304347826086,0,1,0,0,0.055,1,0,1
20672,1.0,1.0,0.9130434782608695,0,0,0,1,0.075,0,0,0
96421,1.0,1.0,0.6956521739130435,1,1,1,0,0.065,1,0,1
59717,1.0,0.0,0.8260869565217391,1,0,1,1,0.0475,0,0,0
72213,1.0,1.0,0.9130434782608695,1,1,1,0,0.0675,0,1,0
21896,1.0,1.0,0.7826086956521738,1,1,1,0,0.035,0,1,1
17922,1.0,1.0,0.7826086956521738,0,0,0,0,0.03,1,0,0
90451,1.0,1.0,0.6086956521739131,1,1,1,0,0.0125,0,1,0
90384,1.0,1.0,0.7391304347826086,0,0,0,0,0.67,1,0,0
79173,1.0,1.0,0.30434782608695654,1,1,1,0,0.06,1,0,0
95090,1.0,1.0,0.5652173913043478,1,1,1,0,0.0275,0,1,0
33408,1.0,1.0,0.30434782608695654,1,1,1,0,0.0475,0,1,0
44561,1.0,1.0,0.7391304347826086,1,1,1,1,0.065,0,0,1
99814,1.0,1.0,0.34782608695652173,1,1,1,1,0.8250000000000001,0,0,0
15332,1.0,1.0,0.8695652173913043,0,0,0,1,0.36,0,0,0
7200,1.0,0.0,0.30434782608695654,1,0,1,1,0.99,0,0,0
3660,1.0,1.0,0.9565217391304348,1,1,1,0,0.59,1,0,0
61991,1.0,1.0,1.0,1,1,1,1,0.06,0,0,0
83787,1.0,1.0,0.5217391304347826,1,1,1,1,0.195,0,0,0
12605,1.0,1.0,0.5217391304347826,1,1,1,1,0.0275,0,0,0
99738,1.0,1.0,0.34782608695652173,1,1,1,0,0.0275,1,0,1
71593,1.0,0.0,0.30434782608695654,1,0,1,0,0.8925000000000001,1,0,0
21430,1.0,1.0,0.4782608695652174,1,1,1,1,0.075,0,0,0
59909,1.0,1.0,0.4782608695652174,0,0,0,1,0.3525,0,0,0
67015,1.0,1.0,0.6956521739130435,0,0,0,0,0.6,1,0,0
60100,1.0,1.0,0.6521739130434783,1,1,1,1,0.4175,0,0,0
5718,1.0,0.0,0.6521739130434783,1,0,1,0,0.195,1,0,0
46341,1.0,1.0,0.3913043478260869,1,1,1,0,0.0275,0,1,0
89112,1.0,1.0,0.9130434782608695,1,1,1,0,0.065,0,1,0
15176,1.0,1.0,0.6086956521739131,1,1,1,0,0.89,1,0,0
22710,1.0,1.0,0.6521739130434783,1,1,1,0,0.8225,1,0,0
39515,1.0,1.0,0.4782608695652174,1,1,1,0,0.2625,1,0,0
2230,1.0,1.0,0.6956521739130435,1,1,1,0,0.0575,1,0,0
81367,1.0,1.0,0.5652173913043478,1,1,1,1,0.0525,0,0,0
34487,1.0,0.0,0.3913043478260869,1,0,1,1,0.805,0,0,0
43161,1.0,1.0,0.9130434782608695,0,0,0,1,0.45,0,0,0
93195,1.0,1.0,0.34782608695652173,0,0,0,1,0.10250000000000001,0,0,0
11122,1.0,1.0,0.8260869565217391,1,1,1,0,0.02,1,0,0
81312,0.0,0.0,0.3913043478260869,0,0,1,1,0.8200000000000001,0,0,0
35506,1.0,0.0,0.8260869565217391,1,0,1,0,0.0175,1,0,0
60328,1.0,1.0,0.6086956521739131,1,1,1,1,0.3625,0,0,0
58990,0.0,0.0,1.0,0,0,1,1,0.6525,0,0,0
84834,0.0,0.0,0.6521739130434783,0,0,1,1,0.755,0,0,1
86157,0.0,0.0,0.34782608695652173,0,0,1,0,0.525,1,0,1
3167,1.0,1.0,0.5217391304347826,1,1,1,0,0.0625,0,1,0
73064,1.0,1.0,0.8695652173913043,1,1,1,1,0.0225,0,0,0
76367,1.0,1.0,0.6521739130434783,1,1,1,0,0.5775,1,0,0
73454,0.0,0.0,0.4782608695652174,0,0,1,0,0.035,0,1,0
88613,1.0,1.0,0.5652173913043478,1,1,1,0,0.06,1,0,0
60081,1.0,1.0,0.9130434782608695,1,1,1,0,0.0675,1,0,0
56865,1.0,1.0,0.8260869565217391,0,0,0,0,0.9025,1,0,0
22749,1.0,1.0,0.7391304347826086,1,1,1,0,0.0575,1,0,0
54023,1.0,1.0,0.43478260869565216,1,1,1,0,0.025,1,0,0
3931,1.0,1.0,0.5217391304347826,1,1,1,1,0.7175,0,0,1
21780,1.0,1.0,0.6956521739130435,1,1,1,0,0.025,0,1,0
90499,1.0,1.0,0.5652173913043478,1,1,1,0,0.2975,1,0,1
25386,1.0,0.0,0.5217391304347826,1,0,1,1,0.015,0,0,0
68676,1.0,1.0,0.8260869565217391,1,1,1,0,0.6825,1,0,0
7616,1.0,0.0,0.9130434782608695,1,0,1,0,0.0275,0,1,0
54572,1.0,1.0,1.0,1,1,1,1,0.0725,0,0,0
26492,1.0,0.0,0.34782608695652173,0,1,0,1,0.4825,0,0,0
71830,1.0,0.0,0.34782608695652173,1,0,1,0,0.02,0,1,0
27325,1.0,1.0,1.0,1,1,1,0,0.43,1,0,0
67325,0.0,0.0,0.8260869565217391,0,0,1,1,0.0725,0,0,0
17426,1.0,0.0,0.5652173913043478,1,0,1,1,0.0575,0,0,0
63832,1.0,1.0,0.34782608695652173,1,1,1,1,0.4525,0,0,0
56807,1.0,1.0,0.6956521739130435,1,1,1,0,0.03,0,1,0
66593,1.0,1.0,0.3913043478260869,1,1,1,0,0.1575,1,0,0
21868,1.0,1.0,0.5217391304347826,1,1,1,0,0.795,1,0,1
11659,1.0,1.0,0.5217391304347826,0,0,0,0,0.0825,1,0,0
5865,1.0,1.0,0.43478260869565216,1,1,1,0,0.0175,0,1,0
40521,1.0,0.0,0.6956521739130435,1,0,1,1,0.2975,0,0,0
77044,1.0,1.0,0.6521739130434783,1,1,1,1,0.0625,0,0,0
81170,1.0,1.0,0.34782608695652173,1,1,1,1,0.0325,0,0,0
5952,1.0,1.0,0.5652173913043478,1,1,1,0,1.0,1,0,0
87045,1.0,1.0,0.5217391304347826,1,1,1,0,0.785,1,0,0
76569,1.0,1.0,0.8260869565217391,1,1,1,1,0.4975,0,0,0
94178,1.0,1.0,0.8695652173913043,1,1,1,0,0.0375,0,1,0
59546,1.0,1.0,0.43478260869565216,0,0,0,0,0.4975,1,0,0
63244,1.0,1.0,0.34782608695652173,0,0,0,1,0.5025000000000001,0,0,1
14384,1.0,0.0,0.6956521739130435,1,0,1,0,0.625,1,0,0
85560,1.0,1.0,0.8695652173913043,1,1,1,0,0.025,1,0,0
1596,1.0,1.0,0.7391304347826086,1,1,1,1,0.1,0,0,0
95939,1.0,1.0,0.7391304347826086,1,1,1,0,0.0425,0,1,0
72731,1.0,1.0,0.6521739130434783,1,1,1,0,0.4375,1,0,0
48062,1.0,1.0,0.9130434782608695,0,0,0,0,0.0525,0,1,0
85621,0.0,0.0,0.4782608695652174,0,0,1,1,0.2125,0,0,0
23523,1.0,1.0,0.9130434782608695,0,0,0,0,0.02,0,1,0
8047,1.0,1.0,1.0,1,1,1,1,0.135,0,0,0
97390,1.0,1.0,0.3913043478260869,1,1,1,1,0.465,0,0,0
858,1.0,1.0,0.7826086956521738,1,1,1,0,0.34,1,0,1
94569,1.0,1.0,0.7826086956521738,1,1,1,0,0.0475,0,1,0
13159,0.0,0.0,0.43478260869565216,0,0,1,1,0.67,0,0,0
63277,1.0,1.0,0.9565217391304348,1,1,1,1,0.03,0,0,0
33726,1.0,1.0,1.0,1,1,1,1,0.5125,0,0,0
53605,1.0,1.0,0.43478260869565216,0,0,0,1,0.23750000000000002,0,0,0
68345,1.0,0.0,0.17391304347826086,1,0,1,0,0.025,1,0,0
42471,0.0,0.0,0.4782608695652174,0,0,1,0,0.3225,1,0,0
62913,0.0,0.0,0.6521739130434783,0,0,1,1,0.2925,0,0,1
5148,1.0,1.0,0.9130434782608695,1,1,1,0,0.0375,1,0,0
40091,1.0,1.0,0.30434782608695654,0,0,0,0,0.355,1,0,0
80399,1.0,1.0,0.8695652173913043,1,1,1,0,0.9525,1,0,0
58229,1.0,1.0,0.5217391304347826,0,0,0,0,0.6950000000000001,1,0,0
23889,1.0,1.0,0.5652173913043478,1,1,1,0,0.04,0,1,0
58750,1.0,1.0,0.5217391304347826,1,1,1,1,0.515,0,0,0
77685,1.0,1.0,0.5217391304347826,1,1,1,0,0.0275,1,0,0
54169,1.0,1.0,0.34782608695652173,1,1,1,1,0.6175,0,0,0
31723,1.0,1.0,0.34782608695652173,0,0,0,0,0.5650000000000001,1,0,0
5121,1.0,1.0,0.5652173913043478,1,1,1,1,0.0425,0,0,0
76994,1.0,1.0,0.9565217391304348,1,1,1,0,0.0125,0,1,0
64164,1.0,1.0,0.7391304347826086,1,1,1,0,0.0425,0,1,0
